top - 18:02:48 up  9:19,  1 user,  load average: 3,61, 2,35, 2,33
Tarefas: 376 total,   1 em exec., 374 dormindo,   0 parado,   1 zumbi
%Cpu(s): 25,5 us,  5,5 sy,  0,0 ni, 69,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MB mem :  15890,1 total,   5869,9 livre,   4518,7 usados,   5501,5 buff/cache
MB swap:   7812,0 total,   7812,0 livre,      0,0 usados,  10855,0 mem dispon.

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
  33119 gabriel+  20   0   54,8g 319972 162652 S 200,0   2,0   3:01.35 code
 317144 gabriel+  20   0  652120  95624  24556 S  80,0   0,6   0:17.36 python3
  30398 gabriel+  20   0 1131,1g 433256 147420 S  66,7   2,7  36:07.17 chrome
   3769 gabriel+  20   0   25,4g 214260 128592 S   6,7   1,3  20:28.86 Xorg
   4188 gabriel+  20   0 4733720 524844 136676 S   6,7   3,2  21:17.95 gnome-shell
  33965 gabriel+  20   0 1130,0g 207508 108076 S   6,7   1,3   3:23.75 chrome
 322978 gabriel+  20   0   13776   4504   3680 R   6,7   0,0   0:00.01 top
      1 root      20   0  168944  14288   8308 S   0,0   0,1   0:05.51 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-events_highpri
      9 root       0 -20       0      0      0 I   0,0   0,0   0:00.44 kworker/0:1H-events_highpri
     10 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_rude_
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_trace
     13 root      20   0       0      0      0 S   0,0   0,0   0:00.71 ksoftirqd/0
     14 root      20   0       0      0      0 I   0,0   0,0   0:27.91 rcu_sched
     15 root      rt   0       0      0      0 S   0,0   0,0   0:00.15 migration/0
     16 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     18 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     21 root      rt   0       0      0      0 S   0,0   0,0   0:00.37 migration/1
     22 root      20   0       0      0      0 S   0,0   0,0   0:00.64 ksoftirqd/1
     24 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:0H-events_highpri
     25 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     27 root      rt   0       0      0      0 S   0,0   0,0   0:00.37 migration/2
     28 root      20   0       0      0      0 S   0,0   0,0   0:00.42 ksoftirqd/2
     30 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0H-events_highpri
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/3
     33 root      rt   0       0      0      0 S   0,0   0,0   0:00.37 migration/3
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.33 ksoftirqd/3
